Order (Watch For Multiship),Province,Special Item,Fulfillment Type,Payment,Coupon,External Order Number,Kibo Order Number,Kibo Shipment Number,Expected Results,,Product in UAT,Comment,Locations,Explanation from Bill
1,BC,Item With PPP,STH,Visa,,,,,Item and PPP ship in same shipment,,,,,
2,BC,Item With PPP,ISP,MC,,,,,Item and PPP ship in same shipment,r,L1257299,"- Product with Only In Store Pïckup available
 - In-Store Pickup when selecting Tillicum Centre store
 - Why there is a discount applied in checkout?","068 - Royal Oak Centre - Alberta T3G 5T4
 022 - Jasper Gates - Alberta T5P 4W1
 054 - Tillicum Centre - British Columbia V9A 7C5
 076 - Westbank - British Columbia V4T 3E6
 052 - Ironwood Plaza - British Columbia V7A 5J3
 WH01 - WH01 - Distribution Service Centre
 086 - Grasslands Plaza Saskatchewan S4W 0B7",
3,BC,,STS,Debit,$ off,,,,Funds are captured upfront and final order total respects coupon value,,L1257299,"- Ship to Store in Saanich Centre (British Columbia, V8X 1J8)
 - Coupon ???",,
4,AB,Special Order,STH,PayPal,% off,,,,Funds are captured upfront and SO assigned to 101,,L0037363,"- Home Delivery at T3G 5T4
 - FREE | Standard Ground Shipping Western Canada",,"You may also see SO (Special Order), this is similar to VDF, execpt is RSA fulfillment method #2. In this scenerio the vendor first ships the item to LD, and then LD to the customer. Stock is still assigned to 101, but the fulfillment method changes from DropShip to LondonDrugs, and an attribute/property isSpecialOrder becomes true.
 
 Both VDF and SO trigger a message on the PDP and Shipping indicating the item is a special order, and to allow 3-6 weeks for delivery."
4,AB,Multi QTY Bundle (Eg. 12 Pack),ISP,PayPal,% off,,,,Funds are captured upfront and final order total respects coupon value,,,,,
5,SK,VDF,STH,Amex,,,,,Funds are captured upfront and VDF Assigned to 101,,,,,"VDF = vendor direct fulfillment. in this case LD does not have stock, and when ordered the vendor warehouse ships direct to the customer. These are known as an ""RSA Fulfillment method #1"" and will translate to Kibo as Shopping Limitation = OnlineOnly and fulfilment method = ""DropShip"" (amongst others) these items will have stock assigned to location 101 to support sales and allocations."
5,SK,,SDD,Amex,,,,,Order assigned to appropriate store,,"L2571211
 B/UNLIMITED FINGER POPS BAG","Postal Code: T2H 2V2
 Store: B/UNLIMITED FINGER POPS BAG",,
6,MN,Pre Order,STH,3DS Card,,,,,Pre-Order assigned to correct fulfillment site,,,,,
6,MN,$3 Tip / Special Instructions,ODD,3DS Card,,,,,Order assigned to appropriate store with tip and instructions in DD API payload,,,,,
7,ON,,STH,MC,GWP,,,,GWP is not charged and ships with at least one other shipment,,,,,
8,NU,,STH,Debit,,,,,Air Stage shipping rate is charged,,,,,
9,NS,Bundle,STH,PayPal,,,,,All components of bundle ship to customer,,,,,
