Area,Functionality,Expected Results,Pass Y/N,If N Actual Results
HomePage,Logo,Clicking returns to Home Page,,
HomePage,Search,Search results returned,,
HomePage,Store Locator,Display Store Details,,
,,Display Store Hours,,
,,Allow for selecting a new store,,
HomePage,My Account,Allow login,,
,,Allow create new account,,
,,Look up an order,,
HomePage,Mini Cart,Displays Cart Contents,,
,,Proceed to Checkout,,
HomePage,Hamburger Menu,Displays Categories,,
,,Displays Applicable Sub Categories,,
,,Allow Click to Sub Categories,,
,,Allow Click to Category Page,,
HomePage,Header Links,Click through to appriporate pages,,
HomePage,Banners,Click through to appropriate pages,,
HomePage,Recomenders,Appropriate products are displayed,,
HomePage,Product Shelfs,Click results are appropriate,,
,,Pricing is correct,,
,,,,
HomePage,Email Newsletter,Valid email accepted,x,
,,User is signed up for email,x,
HomePage,Footer,Links click through to appropriate location,,
HomePage,Flyers,TC Flyer Is Displayed Correct,,
HomePage,Text Navigation,Directs user to applicable category / sub category,,
CLP,Hero Banner,Appropriate click through,,
,Visual Navigation,Appropriate click through,,
,Sub Catergories,Appropriate click through,,
Sub CLP,Sub Catergories,Appropriate click through,,
,Sub Catergories,Carousel scrolls if applicable,,
PLP,Hero Banner,Appropriate click through,x,
,Refinements,PLP is correctly refined,,
,Proudly Canadian,Filter Functions,,
,,Badges Show,,
,Lazy Load,items are lazy loaded,,
,Sort,items are sorted based on new sorting rule,,
,Price,Correct pricing,,
PDP,Hero Banner,Appropriate click through,,
,Bread Crumbs,Appropriate bread crumbs,x,
,Hero Image,Is present,,
,Image Carousel,Is present if appciable,x,
,Shop All Brand,Appropriate click through,,
,BV Reviews,Stars are present,x,
,,Reviews are present,,
,Price,Is accurate,,
,Badges,Display as configured,x,
,Promotions Box,Displayed where applicable,,
,Promotions Link,Displayed where applicable,,
,Protection Plan,Displayed where applicable,,
,,Selection off plan is possible,,
,Availability,Appropriate representation,x,
,Shipping Selector,Appropriate methods displayed,,
,QTY Selector,Respects max order QTY,x,
,Product Details,1WS content displayed if applicable,,
,,If no 1WS content item long description displayed,,
,Specifications,1WS line specs if applicable,x,
,,If no 1WS content item attributes displayed,x,
,Reviews,Available reviews are displayed,x,
,,Write a review is present,,
,,Allow user to leave a review,,
